13:28582500:28847500	13:28860000:29445000
13:28860000:29445000	13:29462500:29967500
13:29462500:29967500	13:29982500:30700000
13:29982500:30700000	13:30730000:31172500
13:30730000:31172500	13:31237500:31765000
13:31237500:31765000	13:31837500:32312500
13:31837500:32312500	13:32322500:32717500
13:32322500:32717500	13:32727500:32895000
13:32727500:32895000	13:32900000:33135000
13:32900000:33135000	13:33542500:34515000
13:33542500:34515000	13:36012500:36347500
13:36012500:36347500	13:36810000:37544375
13:36810000:37544375	13:38795000:39525000
13:38795000:39525000	13:39530000:40277500
13:39530000:40277500	13:40590000:41332500
13:40590000:41332500	13:41452500:41647500
13:41452500:41647500	13:41652500:41807500
13:41652500:41807500	13:43598750:44457500
13:43598750:44457500	13:44462500:45045000
13:44462500:45045000	13:45050000:45590000
13:45050000:45590000	13:45595000:45986250
13:45595000:45986250	13:47082500:47390000
13:47082500:47390000	13:47395000:48492500
13:47395000:48492500	13:48577500:49162500
13:48577500:49162500	13:49167500:49357500
